regcode,provcode,citycode,regcode_9,provcode_9,citycode_9,cityname,geographic_level,old_names,cityclass,incomeclass,addedby,UserLevelID,dateupdated,status
1,1028,102801,1,128,12801,ADAMS,Mun,,,5th,ims,0,,A
1,1028,102802,1,128,12802,BACARRA,Mun,,,3rd,ims,0,,A
1,1028,102803,1,128,12803,BADOC,Mun,,,3rd,ims,0,,A
1,1028,102804,1,128,12804,BANGUI,Mun,,,4th,ims,0,,A
1,1028,102805,1,128,12805,CITY OF BATAC,City,,CC,5th,ims,0,,A
1,1028,102806,1,128,12806,BURGOS,Mun,,,5th,ims,0,,A
1,1028,102807,1,128,12807,CARASI,Mun,,,5th,ims,0,,A
1,1028,102808,1,128,12808,CURRIMAO,Mun,,,4th,ims,0,,A
1,1028,102809,1,128,12809,DINGRAS,Mun,,,2nd,ims,0,,A
1,1028,102810,1,128,12810,DUMALNEG,Mun,,,5th,ims,0,,A
1,1028,102811,1,128,12811,BANNA,Mun,Espiritu,,4th,ims,0,,A
1,1028,102812,1,128,12812,CITY OF LAOAG (CAPITAL),City,,CC,3rd,ims,0,,A
1,1028,102813,1,128,12813,MARCOS,Mun,,,4th,ims,0,,A
1,1028,102814,1,128,12814,NUEVA ERA,Mun,,,3rd,ims,0,,A
1,1028,102815,1,128,12815,PAGUDPUD,Mun,,,4th,ims,0,,A
1,1028,102816,1,128,12816,PAOAY,Mun,,,4th,ims,0,,A
1,1028,102817,1,128,12817,PASUQUIN,Mun,,,3rd,ims,0,,A
1,1028,102818,1,128,12818,PIDDIG,Mun,,,3rd,ims,0,,A
1,1028,102819,1,128,12819,PINILI,Mun,,,3rd,ims,0,,A
1,1028,102820,1,128,12820,SAN NICOLAS,Mun,,,2nd,ims,0,,A
1,1028,102821,1,128,12821,SARRAT,Mun,,,4th,ims,0,,A
1,1028,102822,1,128,12822,SOLSONA,Mun,,,3rd,ims,0,,A
1,1028,102823,1,128,12823,VINTAR,Mun,,,1st,ims,0,,A
1,1029,102901,1,129,12901,ALILEM,Mun,,,4th,ims,0,,A
1,1029,102902,1,129,12902,BANAYOYO,Mun,,,4th,ims,0,,A
1,1029,102903,1,129,12903,BANTAY,Mun,,,3rd,ims,0,,A
1,1029,102904,1,129,12904,BURGOS,Mun,,,4th,ims,0,,A
1,1029,102905,1,129,12905,CABUGAO,Mun,,,1st,ims,0,,A
1,1029,102906,1,129,12906,CITY OF CANDON,City,,CC,4th,ims,0,,A
1,1029,102907,1,129,12907,CAOAYAN,Mun,,,4th,ims,0,,A
1,1029,102908,1,129,12908,CERVANTES,Mun,,,4th,ims,0,,A
1,1029,102909,1,129,12909,GALIMUYOD,Mun,,,4th,ims,0,,A
1,1029,102910,1,129,12910,GREGORIO DEL PILAR,Mun,Concepcion,,5th,ims,0,,A
1,1029,102911,1,129,12911,LIDLIDDA,Mun,,,5th,ims,0,,A
1,1029,102912,1,129,12912,MAGSINGAL,Mun,,,3rd,ims,0,,A
1,1029,102913,1,129,12913,NAGBUKEL,Mun,,,5th,ims,0,,A
1,1029,102914,1,129,12914,NARVACAN,Mun,,,2nd,ims,0,,A
1,1029,102915,1,129,12915,QUIRINO,Mun,Angkaki,,4th,ims,0,,A
1,1029,102916,1,129,12916,SALCEDO,Mun,Baugen,,4th,ims,0,,A
1,1029,102917,1,129,12917,SAN EMILIO,Mun,,,4th,ims,0,,A
1,1029,102918,1,129,12918,SAN ESTEBAN,Mun,,,5th,ims,0,,A
1,1029,102919,1,129,12919,SAN ILDEFONSO,Mun,,,5th,ims,0,,A
1,1029,102920,1,129,12920,SAN JUAN,Mun,Lapog,,3rd,ims,0,,A
1,1029,102921,1,129,12921,SAN VICENTE,Mun,,,5th,ims,0,,A
1,1029,102922,1,129,12922,SANTA,Mun,,,4th,ims,0,,A
1,1029,102923,1,129,12923,SANTA CATALINA,Mun,,,5th,ims,0,,A
1,1029,102924,1,129,12924,SANTA CRUZ,Mun,,,1st,ims,0,,A
1,1029,102925,1,129,12925,SANTA LUCIA,Mun,,,3rd,ims,0,,A
1,1029,102926,1,129,12926,SANTA MARIA,Mun,,,3rd,ims,0,,A
1,1029,102927,1,129,12927,SANTIAGO,Mun,,,4th,ims,0,,A
1,1029,102928,1,129,12928,SANTO DOMINGO,Mun,,,3rd,ims,0,,A
1,1029,102929,1,129,12929,SIGAY,Mun,,,5th,ims,0,,A
