regcode,provcode,regcode_9,provcode_9,provname,old_names,incomeclass,addedby,UserLevelID,dateupdated,status
1,1028,1,128,ILOCOS NORTE,,1st,ims,0,,A
1,1029,1,129,ILOCOS SUR,,1st,ims,0,,A
1,1033,1,133,LA UNION,,1st,ims,0,,A
1,1055,1,155,PANGASINAN,,1st,ims,0,,A
2,2009,2,209,BATANES,,5th,ims,0,,A
2,2015,2,215,CAGAYAN,,1st,ims,0,,A
2,2031,2,231,ISABELA,,1st,ims,0,,A
2,2050,2,250,NUEVA VIZCAYA,,2nd,ims,0,,A
2,2057,2,257,QUIRINO,,3rd,ims,0,,A
3,3008,3,308,BATAAN,,1st,ims,0,,A
3,3014,3,314,BULACAN,,1st,ims,0,,A
3,3049,3,349,NUEVA ECIJA,,1st,ims,0,,A
3,3054,3,354,PAMPANGA,,1st,ims,0,,A
3,3069,3,369,TARLAC,,1st,ims,0,,A
3,3071,3,371,ZAMBALES,,2nd,ims,0,,A
3,3077,3,377,AURORA,,3rd,ims,0,,A
4,4010,4,410,BATANGAS,,1st,ims,0,,A
4,4021,4,421,CAVITE,,1st,ims,0,,A
4,4034,4,434,LAGUNA,,1st,ims,0,,A
4,4056,4,456,QUEZON,,1st,ims,0,,A
4,4058,4,458,RIZAL,,1st,ims,0,,A
17,17040,17,1740,MARINDUQUE,,4th,ims,0,,A
17,17051,17,1751,OCCIDENTAL MINDORO,,2nd,ims,0,,A
17,17052,17,1752,ORIENTAL MINDORO,,1st,ims,0,,A
17,17053,17,1753,PALAWAN,,1st,ims,0,,A
17,17059,17,1759,ROMBLON,,3rd,ims,0,,A
5,5005,5,505,ALBAY,,1st,ims,0,,A
5,5016,5,516,CAMARINES NORTE,,2nd,ims,0,,A
5,5017,5,517,CAMARINES SUR,,1st,ims,0,,A
5,5020,5,520,CATANDUANES,,3rd,ims,0,,A
5,5041,5,541,MASBATE,,1st,ims,0,,A
5,5062,5,562,SORSOGON,,2nd,ims,0,,A
6,6004,6,604,AKLAN,,2nd,ims,0,,A
6,6006,6,606,ANTIQUE,,2nd,ims,0,,A
6,6019,6,619,CAPIZ,,1st,ims,0,,A
6,6030,6,630,ILOILO,,1st,ims,0,,A
6,6045,6,645,NEGROS OCCIDENTAL,,1st,ims,0,,I
6,6079,6,679,GUIMARAS,,4th,ims,0,,A
7,7012,7,712,BOHOL,,1st,ims,0,,A
7,7022,7,722,CEBU,,1st,ims,0,,A
7,7046,7,746,NEGROS ORIENTAL,,1st,ims,0,,I
7,7061,7,761,SIQUIJOR,,5th,ims,0,,I
8,8026,8,826,EASTERN SAMAR,,2nd,ims,0,,A
8,8037,8,837,LEYTE,,1st,ims,0,,A
8,8048,8,848,NORTHERN SAMAR,,2nd,ims,0,,A
8,8060,8,860,SAMAR,Western Samar,1st,ims,0,,A
8,8064,8,864,SOUTHERN LEYTE,,3rd,ims,0,,A
8,8078,8,878,BILIRAN,,4th,ims,0,,A
9,9072,9,972,ZAMBOANGA DEL NORTE,,1st,ims,0,,A
9,9073,9,973,ZAMBOANGA DEL SUR,,1st,ims,0,,A
9,9083,9,983,ZAMBOANGA SIBUGAY,,2nd,ims,0,,A
